"state","county","tract","NAME","medianage","income","totalpop","poverty","hispanic","white","black","geoid"
"48","001","950100","Census Tract 9501, Anderson County, Texas",41.1,46027,5216,9.93,2.65,86.29,12.33,"48001950100"
"48","001","950401","Census Tract 9504.01, Anderson County, Texas",36.1,61442,8089,0,25.94,55.3,42.22,"48001950401"
"48","001","950402","Census Tract 9504.02, Anderson County, Texas",42.5,61538,3755,0,17.23,43.12,48.81,"48001950402"
"48","001","950500","Census Tract 9505, Anderson County, Texas",43,32529,4576,22.57,31.97,63.09,27.51,"48001950500"
"48","001","950600","Census Tract 9506, Anderson County, Texas",33,40409,6114,17.43,25.11,68.4,19.53,"48001950600"
"48","001","950700","Census Tract 9507, Anderson County, Texas",34.3,30245,3266,37.44,22.93,45.62,42.47,"48001950700"
"48","001","950800","Census Tract 9508, Anderson County, Texas",39.4,38742,4395,17.04,7.51,77.13,19.98,"48001950800"
"48","001","950901","Census Tract 9509.01, Anderson County, Texas",43.5,46760,5268,9.42,13.17,91.1,4.02,"48001950901"
"48","001","950902","Census Tract 9509.02, Anderson County, Texas",50.2,45250,5185,13.67,11.48,84.11,9.95,"48001950902"
"48","001","951000","Census Tract 9510, Anderson County, Texas",40.5,35478,6839,18.72,4.72,89.68,7.57,"48001951000"
"48","001","951100","Census Tract 9511, Anderson County, Texas",41.6,40293,5313,13.1,3.97,84.08,12.27,"48001951100"
"48","003","950100","Census Tract 9501, Andrews County, Texas",38.8,66050,1684,16.93,40.02,91.03,0.48,"48003950100"
"48","003","950200","Census Tract 9502, Andrews County, Texas",39.9,50694,6289,10.91,42.31,83.3,1.22,"48003950200"
"48","003","950300","Census Tract 9503, Andrews County, Texas",25.7,36250,3754,31.01,57.67,81.81,1.28,"48003950300"
"48","003","950400","Census Tract 9504, Andrews County, Texas",43.3,59766,2321,11.68,48.82,80.31,0.65,"48003950400"
"48","005","000101","Census Tract 1.01, Angelina County, Texas",38.2,30947,5992,26.16,13.85,87.73,9.05,"48005000101"
"48","005","000102","Census Tract 1.02, Angelina County, Texas",33,58906,5153,8.23,11.78,84.01,3.22,"48005000102"
"48","005","000200","Census Tract 2, Angelina County, Texas",37.6,36010,6751,18.88,23.85,85.48,4.86,"48005000200"
"48","005","000301","Census Tract 3.01, Angelina County, Texas",41.6,51369,5495,13.85,17.4,84.42,9.44,"48005000301"
"48","005","000302","Census Tract 3.02, Angelina County, Texas",36.8,50639,4176,6.42,10.01,90.66,7.06,"48005000302"
"48","005","000400","Census Tract 4, Angelina County, Texas",40.9,26534,5554,27.95,24.85,67.09,26.56,"48005000400"
"48","005","000500","Census Tract 5, Angelina County, Texas",23.2,25879,4035,36.65,23.79,29.91,64.68,"48005000500"
"48","005","000600","Census Tract 6, Angelina County, Texas",29,35153,6536,26.38,37.39,49.97,30.95,"48005000600"
"48","005","000700","Census Tract 7, Angelina County, Texas",30.2,29250,3275,25.34,49.44,61.71,18.78,"48005000700"
"48","005","000800","Census Tract 8, Angelina County, Texas",41.1,44792,6021,12.49,17.75,76.25,18.68,"48005000800"
"48","005","000901","Census Tract 9.01, Angelina County, Texas",44.8,48087,6504,7.5,9.09,76.57,17.17,"48005000901"
"48","005","000902","Census Tract 9.02, Angelina County, Texas",40,57542,3101,7.63,8.45,74.81,13.45,"48005000902"
"48","005","001001","Census Tract 10.01, Angelina County, Texas",32.9,33948,5135,25.31,42.28,67.38,20.23,"48005001001"
"48","005","001002","Census Tract 10.02, Angelina County, Texas",32.4,39036,3703,8.99,25.6,82.2,5.13,"48005001002"
"48","005","001100","Census Tract 11, Angelina County, Texas",38.1,41406,5911,13.87,1.88,91.91,4.38,"48005001100"
"48","005","001200","Census Tract 12, Angelina County, Texas",48.3,39922,2703,20.61,0.55,97.74,0.63,"48005001200"
"48","005","001300","Census Tract 13, Angelina County, Texas",38.7,40013,5209,18.49,0.4,94.09,4.97,"48005001300"
"48","007","950100","Census Tract 9501, Aransas County, Texas",51.1,40918,5950,16.2,16.1,92.89,0,"48007950100"
"48","007","950200","Census Tract 9502, Aransas County, Texas",64.3,60071,1356,1.33,7.37,90.86,3.83,"48007950200"
"48","007","950300","Census Tract 9503, Aransas County, Texas",47.1,47430,6837,19.12,22.77,94.88,0.47,"48007950300"
"48","007","950400","Census Tract 9504, Aransas County, Texas",40.5,29276,3757,27.83,40.19,79.35,3.01,"48007950400"
"48","007","950500","Census Tract 9505, Aransas County, Texas",42.8,43533,5347,13.74,27.92,91.77,1.31,"48007950500"
"48","007","990000","Census Tract 9900, Aransas County, Texas",NA,NA,NA,NA,NA,NA,NA,"48007990000"
"48","009","020100","Census Tract 201, Archer County, Texas",40.4,71345,2866,3.86,4.54,97,0,"48009020100"
"48","009","020200","Census Tract 202, Archer County, Texas",42.4,50825,2690,10.08,4.35,97.81,0.19,"48009020200"
"48","009","020300","Census Tract 203, Archer County, Texas",43.3,38486,3499,14.74,10.69,95.2,1.66,"48009020300"
"48","011","950100","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"48011950100"
"48","013","960100","Census Tract 9601, Atascosa County, Texas",40.4,47083,6252,13.23,50.93,83.24,0.35,"48013960100"
"48","013","960201","Census Tract 9602.01, Atascosa County, Texas",38.1,53263,6162,14.51,60.73,69.21,2.47,"48013960201"
"48","013","960202","Census Tract 9602.02, Atascosa County, Texas",35.5,37864,10179,23.73,67.06,70.5,1.49,"48013960202"
"48","013","960300","Census Tract 9603, Atascosa County, Texas",41.6,26250,3582,39.28,86.88,70.02,0,"48013960300"
"48","013","960401","Census Tract 9604.01, Atascosa County, Texas",35,44777,2183,12.09,85.62,90.66,0,"48013960401"
"48","013","960402","Census Tract 9604.02, Atascosa County, Texas",38.3,53072,7942,13.59,49.94,74.68,0,"48013960402"
"48","013","960500","Census Tract 9605, Atascosa County, Texas",45.1,26892,1935,27.7,78.5,87.24,0,"48013960500"
"48","013","960600","Census Tract 9606, Atascosa County, Texas",33.7,51136,5814,14.15,46.01,85.78,0.76,"48013960600"
"48","015","760100","Census Tract 7601, Austin County, Texas",42.2,39928,1987,9.71,33.97,82.69,5.49,"48015760100"
"48","015","760200","Census Tract 7602, Austin County, Texas",35.9,49918,6592,11.04,32.22,80.48,14.65,"48015760200"
"48","015","760300","Census Tract 7603, Austin County, Texas",43.3,66341,6613,7.42,23.7,85.54,8.11,"48015760300"
"48","015","760400","Census Tract 7604, Austin County, Texas",45.9,58095,3245,5.36,6.93,95.93,3.7,"48015760400"
"48","015","760501","Census Tract 7605.01, Austin County, Texas",45.4,71118,4144,5.18,6.64,89.89,7.14,"48015760501"
"48","015","760502","Census Tract 7605.02, Austin County, Texas",41.9,41717,5202,12.36,23.26,80.66,13.96,"48015760502"
"48","017","950100","Census Tract 9501, Bailey County, Texas",32.4,42375,7027,17.26,44.09,85.94,5.95,"48017950100"
"48","019","000101","Census Tract 1.01, Bandera County, Texas",46.5,45236,3546,17.79,11.11,95.74,0.54,"48019000101"
"48","019","000102","Census Tract 1.02, Bandera County, Texas",50.7,35500,4811,24.2,22.3,96.47,0.42,"48019000102"
"48","019","000200","Census Tract 2, Bandera County, Texas",50.4,47857,2504,16.18,8.39,95.17,0.52,"48019000200"
"48","019","000300","Census Tract 3, Bandera County, Texas",45.6,51429,7348,15.24,14.81,92.41,0.99,"48019000300"
"48","019","000400","Census Tract 4, Bandera County, Texas",52.3,33508,2056,19.99,23.01,89.69,0,"48019000400"
"48","021","950100","Census Tract 9501, Bastrop County, Texas",41.4,55226,9577,14.9,39.35,75.84,4.55,"48021950100"
"48","021","950200","Census Tract 9502, Bastrop County, Texas",40.3,47825,7816,17.87,43.47,67.6,18.37,"48021950200"
"48","021","950300","Census Tract 9503, Bastrop County, Texas",40.6,64006,11889,9.08,19.7,76.57,13.92,"48021950300"
"48","021","950400","Census Tract 9504, Bastrop County, Texas",35.8,52199,7927,9.06,16.89,81.85,12.51,"48021950400"
"48","021","950501","Census Tract 9505.01, Bastrop County, Texas",37.9,49231,7151,16.24,36.78,76.35,9.44,"48021950501"
"48","021","950502","Census Tract 9505.02, Bastrop County, Texas",46.3,59271,5948,10.98,9.94,96.7,0.08,"48021950502"
"48","021","950600","Census Tract 9506, Bastrop County, Texas",44.2,46551,4375,12.39,14.97,86.33,3.79,"48021950600"
"48","021","950700","Census Tract 9507, Bastrop County, Texas",38.8,40824,4511,18.95,19.42,83.06,9.51,"48021950700"
"48","021","950801","Census Tract 9508.01, Bastrop County, Texas",32.6,43988,6152,15.03,64.97,83.39,2.6,"48021950801"
"48","021","950802","Census Tract 9508.02, Bastrop County, Texas",34.6,51726,6943,21.48,41.39,90.06,2.41,"48021950802"
"48","023","950300","Census Tract 9503, Baylor County, Texas",47.5,33459,3795,17.29,13.62,92.91,1.05,"48023950300"
"48","025","950100","Census Tract 9501, Bee County, Texas",47.4,38229,2194,15.72,41.11,80.04,0,"48025950100"
"48","025","950201","Census Tract 9502.01, Bee County, Texas",36.3,60588,6163,7.56,54.16,61.79,21.11,"48025950201"
