"tract.key","county","cntyname","vtdname","pop10","afact","state"
"48157675800","48157","Fort Bend TX","Vtng Dist 1008","1447","1 ","48"
"48029140200","48029","Bexar TX","Vtng Dist 1010","1171","1 ","48"
"48029171923","48029","Bexar TX","Vtng Dist 1072","3354","1 ","48"
"48157674800","48157","Fort Bend TX","Vtng Dist 1073","2420","1 ","48"
"48029191804","48029","Bexar TX","Vtng Dist 3089","4572","1 ","48"
"48439110901","48439","Tarrant TX","Vtng Dist 1009","1581","0.948 ","48"
"48439103500","48439","Tarrant TX","Vtng Dist 1011","3151","1 ","48"
"48029171912","48029","Bexar TX","Vtng Dist 1111","6193","1 ","48"
"48029181403","48029","Bexar TX","Vtng Dist 3004","5635","0.968 ","48"
"48029181811","48029","Bexar TX","Vtng Dist 3016","280","1 ","48"
"48029120300","48029","Bexar TX","Vtng Dist 3020","3244","1 ","48"
"48029120600","48029","Bexar TX","Vtng Dist 3024","3821","1 ","48"
"48029121808","48029","Bexar TX","Vtng Dist 3028","3436","1 ","48"
"48029191817","48029","Bexar TX","Vtng Dist 3052","5883","1 ","48"
"48029121000","48029","Bexar TX","Vtng Dist 3060","2503","1 ","48"
"48029181303","48029","Bexar TX","Vtng Dist 3072","3565","1 ","48"
"48029191303","48029","Bexar TX","Vtng Dist 3080","1561","1 ","48"
"48029121110","48029","Bexar TX","Vtng Dist 3084","4895","1 ","48"
"48029181902","48029","Bexar TX","Vtng Dist 3096","5999","0.919 ","48"
"48029121811","48029","Bexar TX","Vtng Dist 3100","4476","1 ","48"
"48029121115","48029","Bexar TX","Vtng Dist 3104","3555","1 ","48"
"48029121121","48029","Bexar TX","Vtng Dist 3108","1981","1 ","48"
"48029181301","48029","Bexar TX","Vtng Dist 3112","4191","1 ","48"
"48029121108","48029","Bexar TX","Vtng Dist 3117","3134","1 ","48"
"48029121120","48029","Bexar TX","Vtng Dist 3120","5103","1 ","48"
"48029191702","48029","Bexar TX","Vtng Dist 3124","564","1 ","48"
"48029181001","48029","Bexar TX","Vtng Dist 3136","583","1 ","48"
"48005000600","48005","Angelina TX","Vtng Dist 0001","4176","1 ","48"
"48017950100","48017","Bailey TX","Vtng Dist 0002","1853","1 ","48"
"48009020300","48009","Archer TX","Vtng Dist 0003","596","1 ","48"
"48009020300","48009","Archer TX","Vtng Dist 0004","944","1 ","48"
"48009020300","48009","Archer TX","Vtng Dist 0005","300","1 ","48"
"48001950700","48001","Anderson TX","Vtng Dist 0006","1569","1 ","48"
"48009020200","48009","Archer TX","Vtng Dist 0007","293","1 ","48"
"48025950100","48025","Bee TX","Vtng Dist 0008","320","1 ","48"
"48009020200","48009","Archer TX","Vtng Dist 0009","148","1 ","48"
"48009020100","48009","Archer TX","Vtng Dist 0010","956","1 ","48"
"48013960100","48013","Atascosa TX","Vtng Dist 0011","82","1 ","48"
"48001951100","48001","Anderson TX","Vtng Dist 0012","447","1 ","48"
"48035950600","48035","Bosque TX","Vtng Dist 0013","1296","1 ","48"
"48013960600","48013","Atascosa TX","Vtng Dist 0014","700","1 ","48"
"48053960100","48053","Burnet TX","Vtng Dist 0015","959","1 ","48"
"48005001001","48005","Angelina TX","Vtng Dist 0016","2989","1 ","48"
"48057000100","48057","Calhoun TX","Vtng Dist 0017","1254","1 ","48"
"48001950100","48001","Anderson TX","Vtng Dist 0018","3021","1 ","48"
"48005001100","48005","Angelina TX","Vtng Dist 0019","915","1 ","48"
"48013960402","48013","Atascosa TX","Vtng Dist 0020","4865","1 ","48"
"48037011600","48037","Bowie TX","Vtng Dist 0021","438","1 ","48"
"48005000101","48005","Angelina TX","Vtng Dist 0022","784","1 ","48"
"48013960202","48013","Atascosa TX","Vtng Dist 0023","2622","1 ","48"
"48001951100","48001","Anderson TX","Vtng Dist 0024","1084","1 ","48"
"48037011600","48037","Bowie TX","Vtng Dist 0025","1935","1 ","48"
"48039660500","48039","Brazoria TX","Vtng Dist 0026","5196","1 ","48"
"48005001002","48005","Angelina TX","Vtng Dist 0027","532","1 ","48"
"48039660400","48039","Brazoria TX","Vtng Dist 0028","9119","1 ","48"
"48005000101","48005","Angelina TX","Vtng Dist 0029","2270","1 ","48"
"48097000600","48097","Cooke TX","Vtng Dist 0030","1366","1 ","48"
"48005001002","48005","Angelina TX","Vtng Dist 0031","877","1 ","48"
"48005001300","48005","Angelina TX","Vtng Dist 0032","582","1 ","48"
"48219950200","48219","Hockley TX","Vtng Dist 0033","151","1 ","48"
"48073950200","48073","Cherokee TX","Vtng Dist 0034","1586","1 ","48"
"48005000200","48005","Angelina TX","Vtng Dist 0035","343","1 ","48"
"48005000400","48005","Angelina TX","Vtng Dist 0036","255","1 ","48"
"48039664300","48039","Brazoria TX","Vtng Dist 0037","3064","1 ","48"
"48005001001","48005","Angelina TX","Vtng Dist 0038","644","1 ","48"
"48245002300","48245","Jefferson TX","Vtng Dist 0039","2791","1 ","48"
"48005000301","48005","Angelina TX","48005008B","758","0.718 ","48"
"48005000800","48005","Angelina TX","48005010B","1800","0.885 ","48"
"48005001300","48005","Angelina TX","48005011B","1184","0.559 ","48"
"48005000901","48005","Angelina TX","48005014B","2355","1 ","48"
"48005001002","48005","Angelina TX","48005016B","1585","0.906 ","48"
"48005001200","48005","Angelina TX","48005017B","716","1 ","48"
"48005000400","48005","Angelina TX","48005036B","326","1 ","48"
"48007950500","48007","Aransas TX","Vtng Dist 001A","2928","1 ","48"
"48007950100","48007","Aransas TX","Vtng Dist 004A","1158","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0101","436","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0201","287","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0202","141","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0301","386","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0302","28","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0303","110","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0401","240","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0402","203","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0403","35","1 ","48"
"48011950100","48011","Armstrong TX","Vtng Dist 0404","35","1 ","48"
"48065950100","48065","Carson TX","Vtng Dist 0102","285","1 ","48"
"48015760501","48015","Austin TX","Vtng Dist 0103","1394","1 ","48"
"48145000800","48145","Falls TX","Vtng Dist 0104","1000","1 ","48"
"48079950100","48079","Cochran TX","Vtng Dist 0205","115","1 ","48"
"48015760501","48015","Austin TX","Vtng Dist 0206","681","1 ","48"
"48015760400","48015","Austin TX","Vtng Dist 0207","528","1 ","48"
"48015760400","48015","Austin TX","Vtng Dist 0208","923","1 ","48"
"48015760400","48015","Austin TX","Vtng Dist 0209","806","1 ","48"
"48015760400","48015","Austin TX","Vtng Dist 0210","1007","1 ","48"
"48187210400","48187","Guadalupe TX","Vtng Dist 0211","313","1 ","48"
"48015760300","48015","Austin TX","Vtng Dist 0312","765","1 ","48"
"48099010101","48099","Coryell TX","Vtng Dist 0314","667","0.997 ","48"
"48015760300","48015","Austin TX","480150319","2519","1 ","48"
"48015760200","48015","Austin TX","Vtng Dist 0413","1180","1 ","48"
"48015760100","48015","Austin TX","Vtng Dist 0415","2286","1 ","48"
"48201341000","48201","Harris TX","Vtng Dist 0416","6799","0.876 ","48"
"48015760200","48015","Austin TX","Vtng Dist 0417","961","1 ","48"
"48015760200","48015","Austin TX","Vtng Dist 0418","1723","1 ","48"
"48019000102","48019","Bandera TX","480190101","1301","0.695 ","48"
"48019000300","48019","Bandera TX","480190102","1877","0.524 ","48"
"48019000300","48019","Bandera TX","480190203","2141","0.792 ","48"
"48019000400","48019","Bandera TX","480190204","1585","0.696 ","48"
"48019000102","48019","Bandera TX","480190305","2234","0.806 ","48"
"48019000200","48019","Bandera TX","480190306","1818","1 ","48"
"48019000101","48019","Bandera TX","480190407","2576","0.82 ","48"
"48019000200","48019","Bandera TX","480190408","299","0.867 ","48"
"48019000300","48019","Bandera TX","480190409","1372","1 ","48"
"48019000200","48019","Bandera TX","480190410","609","1 ","48"
"48021950400","48021","Bastrop TX","480211001","4671","0.847 ","48"
"48021950400","48021","Bastrop TX","480211013","3034","0.818 ","48"
"48021950300","48021","Bastrop TX","480211014","5452","0.954 ","48"
"48021950501","48021","Bastrop TX","480211021","5745","0.999 ","48"
"48021950700","48021","Bastrop TX","480212003","2196","0.597 ","48"
"48021950600","48021","Bastrop TX","480212004","2228","1 ","48"
"48021950600","48021","Bastrop TX","480212007","1175","1 ","48"
"48021950502","48021","Bastrop TX","480212011","2063","0.989 ","48"
"48021950700","48021","Bastrop TX","480212012","1993","0.97 ","48"
"48021950502","48021","Bastrop TX","480212016","1236","0.976 ","48"
"48021950600","48021","Bastrop TX","480212017","257","1 ","48"
"48021950502","48021","Bastrop TX","480212018","2167","0.946 ","48"
"48021950802","48021","Bastrop TX","480213005","3683","0.539 ","48"
"48021950300","48021","Bastrop TX","480213009","1042","1 ","48"
"48021950802","48021","Bastrop TX","480213010","1541","0.773 ","48"
"48021950300","48021","Bastrop TX","480213019","4486","0.999 ","48"
"48021950801","48021","Bastrop TX","480213020","4630","0.799 ","48"
"48021950200","48021","Bastrop TX","480214002","4648","0.876 ","48"
"48021950100","48021","Bastrop TX","480214006","4153","0.464 ","48"
"48021950100","48021","Bastrop TX","480214008","1062","0.878 ","48"
"48021950100","48021","Bastrop TX","480214015","2719","0.957 ","48"
"48055960200","48055","Caldwell TX","Vtng Dist 0105","1725","1 ","48"
"48055960400","48055","Caldwell TX","Vtng Dist 0106","127","1 ","48"
"48085031642","48085","Collin TX","Vtng Dist 0107","4633","1 ","48"
"48099010102","48099","Coryell TX","Vtng Dist 0108","359","1 ","48"
"48049951300","48049","Brown TX","Vtng Dist 0109","405","1 ","48"
"48085032009","48085","Collin TX","Vtng Dist 0110","3550","1 ","48"
"48027020300","48027","Bell TX","480270111","5890","0.736 ","48"
"48135002400","48135","Ector TX","Vtng Dist 0203","5189","1 ","48"
"48135000400","48135","Ector TX","Vtng Dist 0204","2256","1 ","48"
"48031950100","48031","Blanco TX","Vtng Dist 0304","413","1 ","48"
"48027021203","48027","Bell TX","Vtng Dist 0305","4139","1 ","48"
"48079950100","48079","Cochran TX","Vtng Dist 0306","708","1 ","48"
"48069950100","48069","Castro TX","Vtng Dist 0307","486","1 ","48"
"48049950300","48049","Brown TX","Vtng Dist 0308","761","1 ","48"
"48135001600","48135","Ector TX","Vtng Dist 0309","2351","1 ","48"
"48027020100","48027","Bell TX","Vtng Dist 0310","663","1 ","48"
"48027020202","48027","Bell TX","Vtng Dist 0311","4027","1 ","48"
"48121021513","48121","Denton TX","Vtng Dist 0313","2363","1 ","48"
"48027020300","48027","Bell TX","480270315","1513","1 ","48"
"48027020401","48027","Bell TX","480270316","129","1 ","48"
"48027020202","48027","Bell TX","480270317","4","1 ","48"
"48135002000","48135","Ector TX","Vtng Dist 0405","2581","1 ","48"
"48099010101","48099","Coryell TX","Vtng Dist 0406","560","1 ","48"
"48135002802","48135","Ector TX","Vtng Dist 0407","1643","1 ","48"
"48227950100","48227","Howard TX","Vtng Dist 0408","39","1 ","48"
"48441013500","48441","Taylor TX","Vtng Dist 0409","1052","1 ","48"
"48027022600","48027","Bell TX","480270410","3790","0.447 ","48"
"48027023203","48027","Bell TX","480270411","2909","0.967 ","48"
"48439123300","48439","Tarrant TX","Vtng Dist 1001","617","0.998 ","48"
"48029171914","48029","Bexar TX","Vtng Dist 1002","1029","1 ","48"
"48029150100","48029","Bexar TX","Vtng Dist 1003","2831","0.837 ","48"
"48029150300","48029","Bexar TX","Vtng Dist 1004","2417","1 ","48"
"48029150300","48029","Bexar TX","Vtng Dist 1005","1871","1 ","48"
"48029150400","48029","Bexar TX","Vtng Dist 1006","3974","0.951 ","48"
"48029160300","48029","Bexar TX","Vtng Dist 1007","2133","1 ","48"
"48029171903","48029","Bexar TX","Vtng Dist 1012","4112","1 ","48"
"48439105800","48439","Tarrant TX","Vtng Dist 1014","1631","1 ","48"
"48029150501","48029","Bexar TX","Vtng Dist 1015","1829","0.64 ","48"
"48157675200","48157","Fort Bend TX","Vtng Dist 1016","3552","1 ","48"
"48157675600","48157","Fort Bend TX","Vtng Dist 1018","3135","0.996 ","48"
"48029150800","48029","Bexar TX","Vtng Dist 1019","2837","1 ","48"
"48029150900","48029","Bexar TX","Vtng Dist 1020","4027","1 ","48"
"48029151000","48029","Bexar TX","Vtng Dist 1021","3365","1 ","48"
"48029151100","48029","Bexar TX","Vtng Dist 1022","4498","1 ","48"
"48029150502","48029","Bexar TX","Vtng Dist 1023","3204","1 ","48"
"48029171914","48029","Bexar TX","Vtng Dist 1024","4339","0.838 ","48"
"48029151100","48029","Bexar TX","Vtng Dist 1025","2438","1 ","48"
"48029160902","48029","Bexar TX","Vtng Dist 1026","2109","0.761 ","48"
"48029160702","48029","Bexar TX","Vtng Dist 1027","1098","1 ","48"
"48029150700","48029","Bexar TX","Vtng Dist 1028","2042","1 ","48"
"48029160702","48029","Bexar TX","Vtng Dist 1029","2133","1 ","48"
"48029980100","48029","Bexar TX","Vtng Dist 1030","271","0.9 ","48"
"48029160702","48029","Bexar TX","Vtng Dist 1031","2083","0.677 ","48"
"48029160701","48029","Bexar TX","Vtng Dist 1032","2323","1 ","48"
"48029161600","48029","Bexar TX","Vtng Dist 1033","3947","0.993 ","48"
"48029172006","48029","Bexar TX","Vtng Dist 1034","6698","1 ","48"
"48029161400","48029","Bexar TX","Vtng Dist 1035","9918","0.999 ","48"
"48029161801","48029","Bexar TX","Vtng Dist 1036","4028","0.593 ","48"
"48029161501","48029","Bexar TX","Vtng Dist 1037","5891","1 ","48"
"48157674900","48157","Fort Bend TX","Vtng Dist 1040","5543","0.89 ","48"
"48029161000","48029","Bexar TX","Vtng Dist 1041","2628","0.582 ","48"
"48029161100","48029","Bexar TX","Vtng Dist 1042","2393","1 ","48"
"48029171801","48029","Bexar TX","Vtng Dist 1043","1595","0.897 ","48"
"48029151200","48029","Bexar TX","Vtng Dist 1044","3334","0.996 ","48"
"48029151200","48029","Bexar TX","Vtng Dist 1045","6286","1 ","48"
"48029151302","48029","Bexar TX","Vtng Dist 1046","2201","0.589 ","48"
"48029151301","48029","Bexar TX","Vtng Dist 1047","3374","1 ","48"
"48029151700","48029","Bexar TX","Vtng Dist 1048","2735","0.648 ","48"
"48029151400","48029","Bexar TX","Vtng Dist 1049","4507","0.889 ","48"
"48029151500","48029","Bexar TX","Vtng Dist 1050","2573","1 ","48"
"48029151600","48029","Bexar TX","Vtng Dist 1051","3891","1 ","48"
"48029151600","48029","Bexar TX","Vtng Dist 1052","3353","1 ","48"
"48029192200","48029","Bexar TX","Vtng Dist 1053","838","1 ","48"
"48029151700","48029","Bexar TX","Vtng Dist 1054","3123","0.967 ","48"
"48029171925","48029","Bexar TX","Vtng Dist 1055","6248","1 ","48"
"48439101700","48439","Tarrant TX","Vtng Dist 1056","1950","1 ","48"
"48029152202","48029","Bexar TX","Vtng Dist 1057","4589","1 ","48"
"48029152100","48029","Bexar TX","Vtng Dist 1058","6027","1 ","48"
"48029152000","48029","Bexar TX","Vtng Dist 1059","1498","1 ","48"
"48029161100","48029","Bexar TX","Vtng Dist 1060","4330","0.773 ","48"
"48439123200","48439","Tarrant TX","Vtng Dist 1061","495","1 ","48"
"48439104400","48439","Tarrant TX","Vtng Dist 1062","1168","1 ","48"
"48029162003","48029","Bexar TX","Vtng Dist 1063","3285","0.887 ","48"
"48029162001","48029","Bexar TX","Vtng Dist 1064","1408","0.575 ","48"
"48029162003","48029","Bexar TX","Vtng Dist 1065","2027","0.494 ","48"
