"treatment.group.id","control.group.id"
"63","889"
"64","612"
"68","1036"
"69","1356"
"75","330"
"82","1041"
"83","583"
"84","1136"
"85","1482"
"86","1159"
"88","1214"
"90","1473"
"91","1232"
"94","230"
"95","1273"
"98","771"
"122","1077"
"124","585"
"136","1239"
"141","157"
"142","1088"
"167","1281"
"168","706"
"169","1257"
"170","584"
"180","283"
"186","1144"
"199","62"
"222","1550"
"255","914"
"263","11"
"270","1122"
"278","1003"
"357","1374"
"379","793"
"383","867"
"393","1453"
"395","663"
"410","285"
"421","1276"
"427","1467"
"433","384"
"448","1454"
"451","15"
"454","992"
"463","12"
"480","235"
"532","396"
"533","1521"
"538","1052"
"541","1534"
"543","1172"
"550","611"
"554","1137"
"560","1253"
"564","1087"
"598","1250"
"599","1120"
"600","1264"
"604","1252"
"749","1531"
"778","1551"
"783","1527"
"884","832"
"898","664"
"938","1195"
"940","217"
"944","331"
"946","936"
"953","1140"
"955","229"
"956","703"
"977","1537"
"980","704"
"981","1293"
"1009","1040"
"1013","613"
"1015","1478"
"1020","1035"
"1023","835"
"1029","1619"
"1030","289"
"1058","257"
"1082","293"
"1181","1288"
"1305","1468"
"1312","10"
"1330","655"
"1413","1386"
"1491","1179"
"1493","1486"
"1495","1141"
"1496","903"
"1498","1194"
"1501","1244"
"1502","1455"
"1504","1235"
"1508","886"
"1529","1286"
"1532","266"
"1567","46"
"1569","287"
"1570","374"
"1571","1263"
"1590","1431"
"1594","1593"
"1625","740"
"1626","238"
"1627","292"
