"vtd.key1","tract.key","county","cntyname","tract","vtdname","pop10","afact","state","NAME","medianage","income","totalpop","poverty","hispanic","white","black","Pres_D_08","Pres_R_08","Shape_area"
"480010006","48001950700","48001","Anderson TX","9507.00","Vtng Dist 0006","1569","1 ","48","Census Tract 9507, Anderson County, Texas",34.3,30245,3266,37.44,22.93,45.62,42.47,"463","228",5142852.10502
"480010012","48001951100","48001","Anderson TX","9511.00","Vtng Dist 0012","447","1 ","48","Census Tract 9511, Anderson County, Texas",41.6,40293,5313,13.1,3.97,84.08,12.27,"69","85",117816488.761
"480010018","48001950100","48001","Anderson TX","9501.00","Vtng Dist 0018","3021","1 ","48","Census Tract 9501, Anderson County, Texas",41.1,46027,5216,9.93,2.65,86.29,12.33,"292","947",212257089.421
"480010024","48001951100","48001","Anderson TX","9511.00","Vtng Dist 0024","1084","1 ","48","Census Tract 9511, Anderson County, Texas",41.6,40293,5313,13.1,3.97,84.08,12.27,"66","359",321662280.047
"480050001","48005000600","48005","Angelina TX","0006.00","Vtng Dist 0001","4176","1 ","48","Census Tract 6, Angelina County, Texas",29,35153,6536,26.38,37.39,49.97,30.95,"531","208",5434768.27492
"480050016","48005001001","48005","Angelina TX","0010.01","Vtng Dist 0016","2989","1 ","48","Census Tract 10.01, Angelina County, Texas",32.9,33948,5135,25.31,42.28,67.38,20.23,"392","244",6235099.01844
"480050019","48005001100","48005","Angelina TX","0011.00","Vtng Dist 0019","915","1 ","48","Census Tract 11, Angelina County, Texas",38.1,41406,5911,13.87,1.88,91.91,4.38,"79","279",83036691.0388
"480050022","48005000101","48005","Angelina TX","0001.01","Vtng Dist 0022","784","1 ","48","Census Tract 1.01, Angelina County, Texas",38.2,30947,5992,26.16,13.85,87.73,9.05,"83","288",91379351.7453
"480050027","48005001002","48005","Angelina TX","0010.02","Vtng Dist 0027","532","1 ","48","Census Tract 10.02, Angelina County, Texas",32.4,39036,3703,8.99,25.6,82.2,5.13,"46","212",94627149.8992
"480050029","48005000101","48005","Angelina TX","0001.01","Vtng Dist 0029","2270","1 ","48","Census Tract 1.01, Angelina County, Texas",38.2,30947,5992,26.16,13.85,87.73,9.05,"194","591",57555544.2293
"480050032","48005001300","48005","Angelina TX","0013.00","Vtng Dist 0032","582","1 ","48","Census Tract 13, Angelina County, Texas",38.7,40013,5209,18.49,0.4,94.09,4.97,"50","177",157449997.089
"480050035","48005000200","48005","Angelina TX","0002.00","Vtng Dist 0035","343","1 ","48","Census Tract 2, Angelina County, Texas",37.6,36010,6751,18.88,23.85,85.48,4.86,"24","68",28674675.9008
"480050036","48005000400","48005","Angelina TX","0004.00","Vtng Dist 0036","255","1 ","48","Census Tract 4, Angelina County, Texas",40.9,26534,5554,27.95,24.85,67.09,26.56,"24","47",1150547.92157
"480050038","48005001001","48005","Angelina TX","0010.01","Vtng Dist 0038","644","1 ","48","Census Tract 10.01, Angelina County, Texas",32.9,33948,5135,25.31,42.28,67.38,20.23,"4","11",27440057.9697
"48005008B","48005000301","48005","Angelina TX","0003.01","48005008B","758","0.718 ","48","Census Tract 3.01, Angelina County, Texas",41.6,51369,5495,13.85,17.4,84.42,9.44,"81","232",11074417.2441
"48005010B","48005000800","48005","Angelina TX","0008.00","48005010B","1800","0.885 ","48","Census Tract 8, Angelina County, Texas",41.1,44792,6021,12.49,17.75,76.25,18.68,"198","737",7396980.14598
"48005011B","48005001300","48005","Angelina TX","0013.00","48005011B","1184","0.559 ","48","Census Tract 13, Angelina County, Texas",38.7,40013,5209,18.49,0.4,94.09,4.97,"190","423",7121536.29566
"48005014B","48005000901","48005","Angelina TX","0009.01","48005014B","2355","1 ","48","Census Tract 9.01, Angelina County, Texas",44.8,48087,6504,7.5,9.09,76.57,17.17,"342","887",2907792.73078
