"vtdkey","Pres_D_08","Pres_R_08","Shape_area","tract.key","county","vtd","tract","cntyname","pop10","afact","geoname","totalpop","white","black","poverty","dem.super","repub.super","pop.density","match.pair"
"482150117",897,173,8573583.8362,"48215021805","48215","0117","0218.05","Hidalgo TX","6309","0.565 ","Census Tract 218.05, Hidalgo County, Texas","8755","85.3",0,24.8,1,0,1.02115989850522,"482150117to480190101"
"484790227",200,60,597355966.618,"48479001810","48479","0227","0018.10","Webb TX","3078","0.962 ","Census Tract 18.10, Webb County, Texas","4017","77.1",0,24.6,1,0,0.00672463359283529,"484790227to480190305"
"484391490",190,75,1190395.22463,"48439106509","48439","1490","1065.09","Tarrant TX","1093","1 ","Census Tract 1065.09, Tarrant County, Texas","4070","48.5",27.7,7.6,1,0,3.41903253288423,"484391490to480270316"
"481572138",150,35,494405.225589,"48157671400","48157","2138","6714.00","Fort Bend TX","296","0.97 ","Census Tract 6714, Fort Bend County, Texas","7758","30.9",20.7,12.1,1,0,15.6915817197475,"481572138to480294167"
"481572139",36,5,46831.7972602,"48157671400","48157","2139","6714.00","Fort Bend TX","115","1 ","Census Tract 6714, Fort Bend County, Texas","7758","30.9",20.7,12.1,1,0,165.656678877732,"481572139to480294178"
"484530411",473,171,3905256.32294,"48453002421","48453","0411","0024.21","Travis TX","2796","0.988 ","Census Tract 24.21, Travis County, Texas","4923","67.1",13.1,20.2,1,0,1.26060867530811,"484530411to480410013"
"484790446",1147,329,2225425.73616,"48479001716","48479","0446","0017.16","Webb TX","6029","0.728 ","Census Tract 17.16, Webb County, Texas","6283","85.8",1,14.1,1,0,2.8232800124085,"484790446to480610088"
"484790458",656,221,7636928.60345,"48479001715","48479","0458","0017.15","Webb TX","6486","0.971 ","Census Tract 17.15, Webb County, Texas","5720","88",0,14.4,1,0,0.748992205769212,"484790458to480610089"
"481134441",289,20,531484.962785,"48113010101","48113","4441","0101.01","Dallas TX","836","0.51 ","Census Tract 101.01, Dallas County, Texas","4287","35.7",43,39,1,0,8.06607956984515,"481134441to480670017"
"481134444",305,94,10153326.2418,"48113007201","48113","4444","0072.01","Dallas TX","8211","0.639 ","Census Tract 72.01, Dallas County, Texas","9490","26.4",5.6,32.1,1,0,0.934669070410722,"481134444to480690109"
"482730041",229,73,7139983.45822,"48273020200","48273","0041","0202.00","Kleberg TX","1097","1 ","Census Tract 202, Kleberg County, Texas","6035","85.7",2.3,33.4,1,0,0.84524005346989,"482730041to480830001"
"481132147",34,6,375002.240709,"48113017808","48113","2147","0178.08","Dallas TX","234","1 ","Census Tract 178.08, Dallas County, Texas","4350","75",13.9,5.3,1,0,11.5999306878158,"481132147to480850138"
"484394587",181,9,286322.719797,"48439104502","48439","4587","1045.02","Tarrant TX","938","1 ","Census Tract 1045.02, Tarrant County, Texas","3330","46.5",12.9,29.2,1,0,11.6302331940718,"484394587to481132148"
"484530275",2145,341,1251528.55321,"48453000302","48453","0275","0003.02","Travis TX","3020","0.688 ","Census Tract 3.02, Travis County, Texas","5208","79.1",2.7,26.8,1,0,4.16131137131645,"484530275to481430045"
"484790451",145,54,479762.173732,"48479001706","48479","0451","0017.06","Webb TX","1236","1 ","Census Tract 17.06, Webb County, Texas","5346","88.5",0.5,30.6,1,0,11.1430210481461,"484790451to481430046"
"482150097",1265,484,4264235.83664,"48215020726","48215","0097","0207.26","Hidalgo TX","4757","0.526 ","Census Tract 207.26, Hidalgo County, Texas","5740","81.1",0,29.4,1,0,1.34607939614401,"482150097to481430047"
"481572141",108,3,416056.331646,"48157671100","48157","2141","6711.00","Fort Bend TX","435","1 ","Census Tract 6711, Fort Bend County, Texas","8170","50.4",37.7,14.9,1,0,19.636764011445,"481572141to481670172"
"484770122",52,17,110559.085621,"48477170400","48477","0122","1704.00","Washington TX","151","1 ","Census Tract 1704, Washington County, Texas","6442","72.8",21.9,20.1,1,0,58.2674862388368,"484770122to481670195"
"484233401",8,3,90498.9870185,"48423001602","48423","3401","0016.02","Smith TX","24","1 ","Census Tract 16.02, Smith County, Texas","3869","60.1",31.6,10.3,1,0,42.7518597441217,"484233401to481670281"
"481134423",276,103,1718971.61183,"48113006700","48113","4423","0067.00","Dallas TX","4594","1 ","Census Tract 67, Dallas County, Texas","7111","74.7",1,21.7,1,0,4.13677570418379,"481134423to481890102"
"481133006",1687,383,1274972.03205,"48113000601","48113","3006","0006.01","Dallas TX","2913","0.432 ","Census Tract 6.01, Dallas County, Texas","6747","43.2",5.7,25.6,1,0,5.29188078671157,"481133006to481890307"
"481134442",307,86,1463134.72697,"48113010102","48113","4442","0101.02","Dallas TX","2376","1 ","Census Tract 101.02, Dallas County, Texas","3342","55.5",4.6,32.7,1,0,2.28413688664265,"481134442to482270014"
"484391602",9,3,41629.4632911,"48439111005","48439","1602","1110.05","Tarrant TX","52","1 ","Census Tract 1110.05, Tarrant County, Texas","8642","54",36.5,19.3,1,0,207.59335616627,"484391602to482270022"
"481133007",743,215,2514778.49126,"48113000401","48113","3007","0004.01","Dallas TX","4830","0.709 ","Census Tract 4.01, Dallas County, Texas","3213","39.4",3.2,29.8,1,0,1.27764732009862,"481133007to482270034"
"481134445",84,20,785904.764114,"48113007202","48113","4445","0072.02","Dallas TX","2988","0.707 ","Census Tract 72.02, Dallas County, Texas","8274","27.6",1.1,34,1,0,10.5279931841714,"481134445to482270035"
"481133351",441,3,2374774.1441,"48113004000","48113","3351","0040.00","Dallas TX","1082","0.981 ","Census Tract 40, Dallas County, Texas","795","13.8",86.2,27,1,0,0.334768677676206,"481133351to482450106"
"481134434",636,250,1351498.77171,"48113004202","48113","4434","0042.02","Dallas TX","2233","0.863 ","Census Tract 42.02, Dallas County, Texas","2097","79.4",6.9,17.7,1,0,1.55161073313204,"481134434to482650119"
"481410156",955,156,94803630.1005,"48141010341","48141","0156","0103.41","El Paso TX","4687","0.583 ","Census Tract 103.41, El Paso County, Texas","13562","79.5",1.9,18.9,1,0,0.14305359389322,"481410156to482950308"
"482150140",2,0,485671.733508,"48215020901","48215","0140","0209.01","Hidalgo TX","4","1 ","Census Tract 209.01, Hidalgo County, Texas","5092","84.7",0.6,18.5,1,0,10.4844479278639,"482150140to482950409"
"484790238",45,15,1398411260.12,"48479001710","48479","0238","0017.10","Webb TX","427","0.503 ","Census Tract 17.10, Webb County, Texas","2064","76",0,17.6,1,0,0.0014759606553961,"484790238to482990307"
"480850154",75,6,95927.2418266,"48085031506","48085","0154","0315.06","Collin TX","434","1 ","Census Tract 315.06, Collin County, Texas","7829","69.9",14.7,7.6,1,0,81.6139383445618,"480850154to483030117"
"481134427",441,163,1393427.86741,"48113005000","48113","4427","0050.00","Dallas TX","4317","1 ","Census Tract 50, Dallas County, Texas","4017","86.5",6.7,25,1,0,2.88281876224171,"481134427to483030122"
"484530455",1100,460,1605440.17082,"48453001713","48453","0455","0017.13","Travis TX","3258","1 ","Census Tract 17.13, Travis County, Texas","3750","71.6",1.7,10.7,1,0,2.3358080034117,"484530455to483030131"
"482150127",883,217,3853425.92247,"48215021903","48215","0127","0219.03","Hidalgo TX","2791","0.668 ","Census Tract 219.03, Hidalgo County, Texas","3669","88.1",0,18.8,1,0,0.952139751436616,"482150127to483610033"
"484790250",957,321,101511140.042,"48479001816","48479","0250","0018.16","Webb TX","4680","0.479 ","Census Tract 18.16, Webb County, Texas","3886","78.4",0,18.7,1,0,0.0382815127324171,"484790250to483610034"
"482470005",9,2,389375.654614,"48247950400","48247","0005","9504.00","Jim Hogg TX","6","1 ","Census Tract 9504, Jim Hogg County, Texas","2991","72.9",0,16.6,1,0,7.68152801685835,"482470005to483630024"
"481134635",369,144,894227.219219,"48113014311","48113","4635","0143.11","Dallas TX","4971","1 ","Census Tract 143.11, Dallas County, Texas","4660","13.9",6.7,10.9,1,0,5.211203483685,"481134635to483630025"
"484394432",26,9,346868.883411,"48439123600","48439","4432","1236.00","Tarrant TX","215","1 ","Census Tract 1236, Tarrant County, Texas","2831","69.8",21.5,59,1,0,8.1615853580201,"484394432to483750121"
"480292128",594,136,2583354.07609,"48029171401","48029","2128","1714.01","Bexar TX","3471","0.631 ","Census Tract 1714.01, Bexar County, Texas","3885","68.7",6.2,32.7,1,0,1.50385889257584,"480292128to483750126"
"484790405",740,159,1562232.60164,"48479001402","48479","0405","0014.02","Webb TX","3425","0.636 ","Census Tract 14.02, Webb County, Texas","3178","86.7",0,45,1,0,2.03426813437628,"484790405to483810123"
"481410157",1220,387,376216498.57,"48141010332","48141","0157","0103.32","El Paso TX","6347","0.331 ","Census Tract 103.32, El Paso County, Texas","6847","89.6",2.5,37.9,1,0,0.0181996271456076,"481410157to483810306"
"482150110",366,129,8046896.61417,"48215023801","48215","0110","0238.01","Hidalgo TX","4353","1 ","Census Tract 238.01, Hidalgo County, Texas","8745","78.8",0,20.9,1,0,1.08675436249556,"482150110to483810309"
"484530242",2529,709,3550466.32917,"48453001504","48453","0242","0015.04","Travis TX","3925","0.662 ","Census Tract 15.04, Travis County, Texas","4263","82.5",2.5,7.9,1,0,1.20068734773682,"484530242to483810417"
"481410167",347,143,1187866.36752,"48141010343","48141","0167","0103.43","El Paso TX","3159","1 ","Census Tract 103.43, El Paso County, Texas","5093","85.9",1.8,7.5,1,0,4.28751931973042,"481410167to483810421"
"481133005",215,59,503493.854707,"48113000601","48113","3005","0006.01","Dallas TX","1972","0.849 ","Census Tract 6.01, Dallas County, Texas","6747","43.2",5.7,25.6,1,0,13.4003621631615,"481133005to483990002"
"482010697",1715,533,4784196.52262,"48201533901","48201","0697","5339.01","Harris TX","8000","0.762 ","Census Tract 5339.01, Harris County, Texas","8884","35.1",32.5,14.5,1,0,1.8569471295746,"482010697to484010201"
"483510022",140,52,75526461.112,"48351950300","48351","0022","9503.00","Newton TX","569","0.913 ","Census Tract 9503, Newton County, Texas","2354","73.4",26.6,10.5,1,0,0.0311678842797784,"483510022to484010213"
"484230067",17,0,3373413.29412,"48423001602","48423","0067","0016.02","Smith TX","35","1 ","Census Tract 16.02, Smith County, Texas","3869","60.1",31.6,10.3,1,0,1.14690957278903,"484230067to484010404"
"480294177",11,1,85073.2876138,"48029130402","48029","4177","1304.02","Bexar TX","63","1 ","Census Tract 1304.02, Bexar County, Texas","2994","34.3",34.6,47.2,1,0,35.1931855930102,"480294177to484230072"
"484770126",12,3,21558.5710766,"48477170200","48477","0126","1702.00","Washington TX","42","1 ","Census Tract 1702, Washington County, Texas","6188","69.4",22.6,15.2,1,0,287.032010517457,"484770126to484393539"
"484392451",84,22,153156.522602,"48439122600","48439","2451","1226.00","Tarrant TX","487","1 ","Census Tract 1226, Tarrant County, Texas","3717","79.9",13.6,12.2,1,0,24.2692895924464,"484392451to484393623"
"481134435",545,220,1506475.34898,"48113004201","48113","4435","0042.01","Dallas TX","3242","1 ","Census Tract 42.01, Dallas County, Texas","3548","80.3",5.5,19.5,1,0,2.35516631745901,"481134435to484410102"
"480510202",87,35,1519048.17088,"48051970300","48051","0202","9703.00","Burleson TX","423","0.926 ","Census Tract 9703, Burleson County, Texas","4051","81.5",8.6,13.3,1,0,2.66680153905403,"480510202to484410103"
"481134439",131,20,2344852.36144,"48113004300","48113","4439","0043.00","Dallas TX","868","1 ","Census Tract 43, Dallas County, Texas","2456","63.6",20,34.7,1,0,1.04740069796622,"481134439to484410406"
"481133012",91,13,803246.062775,"48113010601","48113","3012","0106.01","Dallas TX","753","1 ","Census Tract 106.01, Dallas County, Texas","6413","55",0.3,23.5,1,0,7.98385488233183,"481133012to484510146"
"481133805",180,65,5915926.0529,"48113016703","48113","3805","0167.03","Dallas TX","316","0.441 ","Census Tract 167.03, Dallas County, Texas","8560","24.1",64.8,20.6,1,0,1.44694168308677,"481133805to484730312"
"484530431",1691,290,4001111.08502,"48453002314","48453","0431","0023.14","Travis TX","4467","0.683 ","Census Tract 23.14, Travis County, Texas","4858","46.6",16.6,27.5,1,0,1.2141627404918,"484530431to484730415"
